"","Gene","Cluster","Max_Weight","Rank"
"SPDEF","SPDEF",4,2.26292847913014,4
"CD24","CD24",4,3.29875486211669,4
"SELL","SELL",2,4.21378074619971,4
"S100A1","S100A1",4,3.05643424587765,4
"VTCN1","VTCN1",4,3.039890482632,4
"KRT17","KRT17",4,2.84245559474059,4
"PLIN4","PLIN4",1,2.70552091528729,4
"COL17A1","COL17A1",1,2.91783851728267,4
"ADIPOQ","ADIPOQ",1,2.4874574742011,4
"S100A9","S100A9",2,2.36803373752731,4
"ELF3","ELF3",4,3.15620807974638,4
"COL8A1","COL8A1",4,3.58433893067219,4
"COL6A6","COL6A6",1,3.02220965062184,4
"CLDN1","CLDN1",4,3.3924017024544,4
"TAT","TAT",1,2.51465146646228,4
"PRG4","PRG4",1,2.08043186725193,4
"MMRN1","MMRN1",1,3.13635826725689,4
"CHI3L1","CHI3L1",4,2.52027852776664,4
"AREG","AREG",1,2.16085042965219,4
"LINC00861","LINC00861",2,3.989411092691,4
"WIF1","WIF1",1,2.73677362223852,4
"C7","C7",1,3.00398124696704,4
"ABCA10","ABCA10",1,3.76568659020333,4
"ZG16B","ZG16B",4,2.49729224992974,4
"BANK1","BANK1",2,3.57737808573157,4
"WFDC2","WFDC2",4,2.60553905476192,4
"AKR1C2","AKR1C2",3,2.41494462095311,4
"NIBAN3","NIBAN3",2,3.68444807782876,4
"TIGIT","TIGIT",2,3.83391222859824,4
"KRT7","KRT7",4,3.67594757556553,4
"LAMP3","LAMP3",2,3.52014095919508,4
"GFRA1","GFRA1",1,3.35407172260434,4
"SOCS3","SOCS3",1,2.53455125971107,4
"KIF26B","KIF26B",4,3.20361947054399,4
"TNN","TNN",1,2.93432633162427,4
"STC2","STC2",1,2.58791180227856,4
"GBP5","GBP5",2,3.64338826134735,4
"FREM1","FREM1",1,3.31050371763769,4
"APOC1","APOC1",2,2.7113437905271,4
"POU2AF1","POU2AF1",2,3.81210301465459,4
"CILP2","CILP2",4,2.97345075383116,4
"EPCAM","EPCAM",4,3.47810754767162,4
"PROM1","PROM1",4,2.81569893805249,4
"ECRG4","ECRG4",1,3.02698079391101,4
"S100P","S100P",4,2.91659731182621,4
"SCN7A","SCN7A",1,3.11404409888982,4
"ADAMDEC1","ADAMDEC1",2,3.40213646417742,4
"KLK5","KLK5",4,3.10677051020273,4
"SCGB3A1","SCGB3A1",1,2.30477492452545,4
"MZB1","MZB1",2,3.64989663050113,4
"RASD1","RASD1",1,2.84083099707788,4
"MAL2","MAL2",4,3.56300035836433,4
"LEPR","LEPR",1,3.57185056694677,4
"CD300LG","CD300LG",1,3.38971737879609,4
"OGN","OGN",1,3.561130268193,4
"MKI67","MKI67",2,2.90757916423459,4
"ITGB6","ITGB6",4,3.04993283987432,4
"TCL1A","TCL1A",2,3.5190041626578,4
"CD22","CD22",2,3.32518882673999,4
"ZBTB16","ZBTB16",1,3.25227448961654,4
"FCMR","FCMR",2,3.80197408850007,4
"AL354740.1","AL354740.1",3,5.08218760498521,4
"TMEM59L","TMEM59L",1,2.77411036042557,4
"G0S2","G0S2",1,1.86220598231819,4
"AC009107.2","AC009107.2",3,4.75658701164918,4
"C2CD4B","C2CD4B",1,2.57953076348674,4
"IL32","IL32",2,3.27122662114503,4
"CXCL8","CXCL8",4,2.10845277942045,4
"STRA6","STRA6",1,2.42569148741725,4
"HSPB6","HSPB6",1,3.37836760340092,4
"STAC2","STAC2",1,2.56962821287874,4
"AL391097.3","AL391097.3",3,4.59451031566913,4
"NR4A2","NR4A2",1,2.41408912342627,4
"ADCYAP1","ADCYAP1",1,2.76168419303761,4
"CXCL2","CXCL2",1,2.24357503573636,4
"ANKRD36BP2","ANKRD36BP2",2,3.1859017627788,4
"MPV17L","MPV17L",4,2.06358550712324,4
"IL4I1","IL4I1",2,2.81738746891441,4
"TNFRSF13C","TNFRSF13C",2,3.687213919472,4
"MT1A","MT1A",1,2.48715570372864,4
"CHIT1","CHIT1",2,2.30033840617648,4
"TFF1","TFF1",1,2.41747234922756,4
"KIAA1324","KIAA1324",4,2.43492744430254,4
"RNU6-826P","RNU6-826P",2,2.6155456988852,4
"ADAM33","ADAM33",1,3.81802981971486,4
"GPC6","GPC6",4,3.43763181939619,4
"PAX5","PAX5",2,3.55560573506137,4
"CLDN8","CLDN8",4,2.57599177135352,4
"CDH1","CDH1",4,3.14865876449419,4
"FABP7","FABP7",3,2.22513932356284,4
"TACSTD2","TACSTD2",4,3.43438458187486,4
"TOP2A","TOP2A",2,2.66375126504357,4
"CCL13","CCL13",2,2.22206636765562,4
"MUC1","MUC1",4,2.90298472875477,4
"LAMC3","LAMC3",1,3.18909773619347,4
"DES","DES",3,2.5084563462676,4
"APOD","APOD",1,3.89011188518022,4
"RPS18","RPS18",4,2.68162615857277,4
"SOX11","SOX11",4,2.90042187338949,4
"RNU6-618P","RNU6-618P",2,2.62899938445084,4
"IDO1","IDO1",2,3.2683457326308,4
"CFD","CFD",1,3.37434179753428,4
"DSC3","DSC3",4,3.05398622537215,4
"LCK","LCK",2,3.90346496254712,4
"PEG10","PEG10",3,2.18532375520927,4
"SAA1","SAA1",1,2.39449863708603,4
"GALNT16","GALNT16",1,3.51689450724007,4
"LPL","LPL",1,2.61847143006413,4
"MTND1P23","MTND1P23",3,2.07869072602459,4
"LAMP5","LAMP5",4,2.50548386980717,4
"KRT23","KRT23",4,2.96705024283117,4
