"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_11877_364_RS1_S_peripheral_S56_R1_001","set1_3_11877_364_RS1_S_peripheral_S56_R1_001",1,0.168836821157266,4
"set1_3_11881_364_RS2_S_center_S37_R1_001","set1_3_11881_364_RS2_S_center_S37_R1_001",3,0.165223408083648,4
"set1_3_13814_552_IBC_Str_1","set1_3_13814_552_IBC_Str_1",3,0.206252236044111,4
"set1_3_13829_551_DCIS_Str","set1_3_13829_551_DCIS_Str",3,0.232966395015757,4
"set1_3_13831_550_ADH_Str_1","set1_3_13831_550_ADH_Str_1",3,0.20474627301553,4
"set1_3_13837_550_DCIS_Str_1","set1_3_13837_550_DCIS_Str_1",3,0.208339294788902,4
"set1_3_13841_549_DCIS_Str","set1_3_13841_549_DCIS_Str",4,0.193319277098887,4
"set1_3_13843_549_IBC_Str","set1_3_13843_549_IBC_Str",3,0.183271883657886,4
"set1_3_13845_549_IN_Str","set1_3_13845_549_IN_Str",2,0.176829501682325,4
"set1_3_13849_550_DCIS_Str_2","set1_3_13849_550_DCIS_Str_2",3,0.217472845947062,4
"set1_3_13855_549_NL_Str","set1_3_13855_549_NL_Str",1,0.186099143775042,4
"set1_3_13859_548_DCIS_Str","set1_3_13859_548_DCIS_Str",3,0.227581516155322,4
"set1_3_13861_548_IBC_Str","set1_3_13861_548_IBC_Str",3,0.229855478177729,4
"set1_3_13863_547_NL_Str","set1_3_13863_547_NL_Str",1,0.186917045409624,4
"set1_3_13865_547_CCC_Str_1","set1_3_13865_547_CCC_Str_1",3,0.211155690491106,4
"set1_3_13867_547_CCH_Str_1","set1_3_13867_547_CCH_Str_1",1,0.23148683180274,4
"set1_3_13869_547_IBC_Str_1","set1_3_13869_547_IBC_Str_1",3,0.225825364907352,4
"set1_3_13871_547_DCIS_Str","set1_3_13871_547_DCIS_Str",3,0.227246842679268,4
"set1_3_13873_547_CCC_Str_2","set1_3_13873_547_CCC_Str_2",3,0.207999603363273,4
"set1_3_13877_547_CCC_Str_3","set1_3_13877_547_CCC_Str_3",3,0.197948018650693,4
"set1_3_13879_547_IBC_Str_2","set1_3_13879_547_IBC_Str_2",4,0.270340495874603,4
"set1_3_13881_547_NL_Str","set1_3_13881_547_NL_Str",3,0.205808011459528,4
"set1_3_13883_546_NL_Str","set1_3_13883_546_NL_Str",1,0.220489745225222,4
"set1_3_13885_546_ALH_Str","set1_3_13885_546_ALH_Str",3,0.195956050974077,4
"set1_3_13887_546_IBC_Str","set1_3_13887_546_IBC_Str",2,0.212154698166283,4
"set1_3_13889_546_LIN_Str","set1_3_13889_546_LIN_Str",3,0.181796842582542,4
"set1_3_13891_546_CCH_Str","set1_3_13891_546_CCH_Str",3,0.204408519054572,4
"set1_3_13893_546_HIN_Str","set1_3_13893_546_HIN_Str",2,0.242890133157972,4
"set1_3_13895_546_MIN_Str","set1_3_13895_546_MIN_Str",2,0.227442843907116,4
"set1_3_13897_545_CCC_Str_1","set1_3_13897_545_CCC_Str_1",3,0.221039470986745,4
"set1_3_13899_545_ADH_Str","set1_3_13899_545_ADH_Str",3,0.215806857944595,4
"set1_3_13901_545_UDH_Str_1","set1_3_13901_545_UDH_Str_1",3,0.206776105960909,4
"set1_3_13903_545_AM_Str_1","set1_3_13903_545_AM_Str_1",3,0.245835418228237,4
"set1_3_13905_545_IBC_Str","set1_3_13905_545_IBC_Str",3,0.254656716660725,4
"set1_3_13907_545_DCIS_Str_1","set1_3_13907_545_DCIS_Str_1",3,0.22325619307566,4
"set1_3_13909_545_CCC_Str_2","set1_3_13909_545_CCC_Str_2",3,0.205891383725177,4
"set1_3_13917_545_DCIS_Str_2","set1_3_13917_545_DCIS_Str_2",3,0.241914397081449,4
"set1_3_13925_544_DCIS_Str_1","set1_3_13925_544_DCIS_Str_1",3,0.21647013589906,4
"set1_3_13927_544_DCIS_Str_2","set1_3_13927_544_DCIS_Str_2",3,0.231020026200178,4
"set1_3_13929_544_IBC_Str","set1_3_13929_544_IBC_Str",3,0.19372172490329,4
"set1_3_13931_544_DCIS_Str_3","set1_3_13931_544_DCIS_Str_3",3,0.199767452859196,4
"set1_3_13939_568_NL_Str","set1_3_13939_568_NL_Str",3,0.175548448251655,4
"set1_3_13941_568_IBC_Str","set1_3_13941_568_IBC_Str",3,0.217386590372734,4
"set1_3_13943_568_DCIS_Str","set1_3_13943_568_DCIS_Str",3,0.17340144257865,4
"set1_3_13947_570_CCC_Str_1","set1_3_13947_570_CCC_Str_1",1,0.221157874697121,4
