"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_11877_364_RS1_S_peripheral_S56_R1_001","set1_3_11877_364_RS1_S_peripheral_S56_R1_001",4,0.149024491145685,4
"set1_3_11881_364_RS2_S_center_S37_R1_001","set1_3_11881_364_RS2_S_center_S37_R1_001",2,0.151336382288522,4
"set1_3_13814_552_IBC_Str_1","set1_3_13814_552_IBC_Str_1",2,0.197430376947256,4
"set1_3_13829_551_DCIS_Str","set1_3_13829_551_DCIS_Str",4,0.132004846918991,4
"set1_3_13831_550_ADH_Str_1","set1_3_13831_550_ADH_Str_1",4,0.124715971902525,4
"set1_3_13837_550_DCIS_Str_1","set1_3_13837_550_DCIS_Str_1",4,0.130829172166738,4
"set1_3_13841_549_DCIS_Str","set1_3_13841_549_DCIS_Str",2,0.221607828671631,4
"set1_3_13843_549_IBC_Str","set1_3_13843_549_IBC_Str",2,0.192515587745871,4
"set1_3_13845_549_IN_Str","set1_3_13845_549_IN_Str",1,0.181404042865792,4
"set1_3_13849_550_DCIS_Str_2","set1_3_13849_550_DCIS_Str_2",1,0.141155277079844,4
"set1_3_13855_549_NL_Str","set1_3_13855_549_NL_Str",4,0.159790369143208,4
"set1_3_13859_548_DCIS_Str","set1_3_13859_548_DCIS_Str",1,0.163592987313233,4
"set1_3_13861_548_IBC_Str","set1_3_13861_548_IBC_Str",1,0.189577650636664,4
"set1_3_13863_547_NL_Str","set1_3_13863_547_NL_Str",4,0.17582608964325,4
"set1_3_13865_547_CCC_Str_1","set1_3_13865_547_CCC_Str_1",1,0.186587406961547,4
"set1_3_13867_547_CCH_Str_1","set1_3_13867_547_CCH_Str_1",4,0.241821950639932,4
"set1_3_13869_547_IBC_Str_1","set1_3_13869_547_IBC_Str_1",2,0.223203219967994,4
"set1_3_13871_547_DCIS_Str","set1_3_13871_547_DCIS_Str",2,0.223111355983148,4
"set1_3_13873_547_CCC_Str_2","set1_3_13873_547_CCC_Str_2",4,0.249214208493657,4
"set1_3_13877_547_CCC_Str_3","set1_3_13877_547_CCC_Str_3",2,0.195711531971045,4
"set1_3_13879_547_IBC_Str_2","set1_3_13879_547_IBC_Str_2",2,0.281359206291581,4
"set1_3_13881_547_NL_Str","set1_3_13881_547_NL_Str",3,0.161577218049245,4
"set1_3_13883_546_NL_Str","set1_3_13883_546_NL_Str",3,0.21526492000678,4
