"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_11867_363_RS1_E_center_S15_R1_001","set1_3_11867_363_RS1_E_center_S15_R1_001",1,0.0567800863229447,4
"set1_3_11869_363_RS1_E_peripheral_S14_R1_001","set1_3_11869_363_RS1_E_peripheral_S14_R1_001",3,0.072590911149012,4
"set1_3_11871_363_NL_E_S47_R1_001","set1_3_11871_363_NL_E_S47_R1_001",1,0.0579160024472397,4
"set1_3_11873_363_IDC_E_S30_R1_001","set1_3_11873_363_IDC_E_S30_R1_001",3,0.0605548727365898,4
"set1_3_11874_364_RS1_E_center_S38_R1_001","set1_3_11874_364_RS1_E_center_S38_R1_001",3,0.0538441478980149,4
"set1_3_11876_364_RS1_E_peripheral_S16_R1_001","set1_3_11876_364_RS1_E_peripheral_S16_R1_001",3,0.0765729689240772,4
"set1_3_11878_364_NL_E_S19_R1_001","set1_3_11878_364_NL_E_S19_R1_001",1,0.067964561716155,4
"set1_3_11880_364_RS2_E_center_S12_R1_001","set1_3_11880_364_RS2_E_center_S12_R1_001",3,0.0743096144963638,4
"set1_3_11882_364_RS2_E_peripheral_S6_R1_001","set1_3_11882_364_RS2_E_peripheral_S6_R1_001",3,0.0648735913757592,4
"set1_3_11885_364_NL_E_S22_R1_001","set1_3_11885_364_NL_E_S22_R1_001",1,0.0724537773041492,4
"set1_3_13813_552_IBC_Ep_1","set1_3_13813_552_IBC_Ep_1",4,0.110263796336706,4
"set1_3_13815_552_EN_Ep_1","set1_3_13815_552_EN_Ep_1",3,0.116541527701262,4
"set1_3_13819_552_NL_Ep","set1_3_13819_552_NL_Ep",1,0.0847497930180554,4
"set1_3_13821_551_IBC_Ep_2","set1_3_13821_551_IBC_Ep_2",2,0.18198761021099,4
"set1_3_13823_551_AM_Ep","set1_3_13823_551_AM_Ep",3,0.0987210051575703,4
"set1_3_13825_551_UDH_Ep","set1_3_13825_551_UDH_Ep",2,0.14727555565174,4
"set1_3_13826_551_NL_Ep","set1_3_13826_551_NL_Ep",1,0.0882578198163985,4
"set1_3_13828_551_DCIS_Ep","set1_3_13828_551_DCIS_Ep",2,0.124923208755767,4
"set1_3_13830_550_ADH_Ep_1","set1_3_13830_550_ADH_Ep_1",2,0.131237460128112,4
